cell,timestr,velocity
62,2021-06-08 08:08:32,9.542594334777812
63,2021-06-08 08:08:32,8.28821559544919
63,2021-06-08 08:14:56,13.001651719225258
63,2021-06-08 08:19:12,9.102454137404788
63,2021-06-08 08:25:36,9.796132672567719
63,2021-06-08 08:29:52,9.260737365833187
63,2021-06-08 08:34:08,8.423062770515319
63,2021-06-08 08:40:32,6.978608126734416
64,2021-06-08 08:08:32,8.710626044554038
65,2021-06-08 08:08:32,5.578854184453006
65,2021-06-08 08:14:56,6.838773872844097
65,2021-06-08 08:19:12,7.415240117411628
65,2021-06-08 08:25:36,2.145613239807146
65,2021-06-08 08:29:52,5.550264195645824
65,2021-06-08 08:34:08,8.275296251331229
65,2021-06-08 08:40:32,2.3139092085998643
65,2021-06-08 08:44:48,10.79997988692658
67,2021-06-08 08:08:32,9.631700968103974
68,2021-06-08 08:08:32,13.06997389632548
69,2021-06-08 08:08:32,3.3160201149434143
69,2021-06-08 08:14:56,6.709232091467845
69,2021-06-08 08:19:12,6.878341578782931
69,2021-06-08 08:25:36,8.799743775106512
69,2021-06-08 08:29:52,8.984545936855026
70,2021-06-08 08:08:32,13.866107007192507
70,2021-06-08 08:14:56,13.087229883891435
70,2021-06-08 08:19:12,8.972838720063056
70,2021-06-08 08:25:36,6.943120032233617
70,2021-06-08 08:29:52,9.387658070091042
