timestr,cell,temperature,dewpoint,CAPE,winddir,windspeed,spread
2021-06-04 14:09:04,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 14:15:28,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 14:19:44,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 14:24:00,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 14:30:24,4,24.350000381469727,15.989999771118164,1247.0,236.3099365234375,9.08598804473877,8.360000610351562
2021-06-04 14:34:40,4,24.350000381469727,15.989999771118164,1247.0,236.3099365234375,9.08598804473877,8.360000610351562
2021-06-04 14:38:56,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 14:45:20,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 14:49:36,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 14:56:00,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:00:16,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:04:32,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:08:48,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:15:12,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:19:28,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:23:44,4,23.75,17.989999771118164,743.0,251.5650634765625,9.107358932495117,5.760000228881836
2021-06-04 15:30:08,4,24.559999465942383,16.670000076293945,865.0,290.224853515625,7.2894439697265625,7.8899993896484375
2021-06-04 15:34:24,4,24.559999465942383,16.670000076293945,865.0,290.224853515625,7.2894439697265625,7.8899993896484375
2021-06-04 15:38:40,4,24.559999465942383,16.670000076293945,865.0,290.224853515625,7.2894439697265625,7.8899993896484375
