cell,timestr,mindist
44,2021-06-22 11:14:08,42.08635927989795
46,2021-06-22 11:14:08,30.901710028545374
45,2021-06-22 11:14:08,131.94295784294573
243,2021-06-22 11:14:08,49.668253797717334
244,2021-06-22 11:14:08,55.19680189198523
49,2021-06-22 11:14:08,58.63545469839667
354,2021-06-22 11:14:08,55.19680189198523
248,2021-06-22 11:14:08,82.70256139077932
285,2021-06-22 11:14:08,56.196654372789006
252,2021-06-22 11:14:08,65.26020258958091
359,2021-06-22 11:14:08,23.722764710687088
254,2021-06-22 11:14:08,23.722764710687088
255,2021-06-22 11:14:08,56.196654372789006
361,2021-06-22 11:14:08,97.54439820354852
363,2021-06-22 11:14:08,39.92273126281263
65,2021-06-22 11:14:08,30.445989456394425
366,2021-06-22 11:14:08,28.555416549589008
66,2021-06-22 11:14:08,74.13925909316916
367,2021-06-22 11:14:08,28.555416549589008
369,2021-06-22 11:14:08,26.38526612589748
4,2021-06-22 11:14:08,35.14965317584617
71,2021-06-22 11:14:08,46.06360745182336
75,2021-06-22 11:14:08,35.183518507285555
76,2021-06-22 11:14:08,35.183518507285555
77,2021-06-22 11:14:08,29.503458172920553
137,2021-06-22 11:14:08,41.31595610917045
263,2021-06-22 11:14:08,41.699896048318266
264,2021-06-22 11:14:08,12.31257334052331
372,2021-06-22 11:14:08,12.31257334052331
266,2021-06-22 11:14:08,26.06314460132332
82,2021-06-22 11:14:08,26.06314460132332
85,2021-06-22 11:14:08,73.74369137137174
269,2021-06-22 11:14:08,50.661193871869635
376,2021-06-22 11:14:08,30.82027613481423
94,2021-06-22 11:14:08,103.72402952047439
95,2021-06-22 11:14:08,62.36939253953372
96,2021-06-22 11:14:08,107.82440089872001
385,2021-06-22 11:14:08,33.764813679921396
101,2021-06-22 11:14:08,58.63545469839667
387,2021-06-22 11:14:08,33.764813679921396
102,2021-06-22 11:14:08,49.668253797717334
105,2021-06-22 11:14:08,144.82415263112614
396,2021-06-22 11:14:08,87.72066752981091
257,2021-06-22 11:14:08,95.78940336638837
400,2021-06-22 11:14:08,22.212984529232195
401,2021-06-22 11:14:08,22.212984529232195
124,2021-06-22 11:14:08,89.50936426912003
293,2021-06-22 11:14:08,18.45986296109364
402,2021-06-22 11:14:08,18.45986296109364
126,2021-06-22 11:14:08,106.99262296732243
408,2021-06-22 11:14:08,123.7271741586684
298,2021-06-22 11:14:08,257.2037808945813
411,2021-06-22 11:14:08,26.38526612589748
135,2021-06-22 11:14:08,75.2038881555685
413,2021-06-22 11:14:08,108.20044011299909
138,2021-06-22 11:14:08,65.04271239603183
139,2021-06-22 11:14:08,35.331590019767
143,2021-06-22 11:14:08,75.86862635726368
147,2021-06-22 11:14:08,50.29352728144272
302,2021-06-22 11:14:08,86.5969613656795
156,2021-06-22 11:14:08,93.73081303625652
311,2021-06-22 11:14:08,92.87498777848388
158,2021-06-22 11:14:08,103.72402952047439
161,2021-06-22 11:14:08,42.75058731130849
428,2021-06-22 11:14:08,27.58545058661507
429,2021-06-22 11:14:08,31.734912764398544
164,2021-06-22 11:14:08,21.071586798047885
315,2021-06-22 11:14:08,21.071586798047885
165,2021-06-22 11:14:08,42.76972103011597
431,2021-06-22 11:14:08,30.909171829359497
168,2021-06-22 11:14:08,154.9203994951789
317,2021-06-22 11:14:08,30.909171829359497
171,2021-06-22 11:14:08,73.41475755959753
437,2021-06-22 11:14:08,45.539571289033496
438,2021-06-22 11:14:08,45.539571289033496
441,2021-06-22 11:14:08,87.72066752981091
324,2021-06-22 11:14:08,123.1225741296971
446,2021-06-22 11:14:08,63.74174430746743
449,2021-06-22 11:14:08,63.74174430746743
454,2021-06-22 11:14:08,34.50646090012232
202,2021-06-22 11:14:08,63.172215329149786
